Date,Close/Last,Volume,Open,High,Low
02/12/2024,$157.11,5482124,$157.36,$157.61,$155.485
02/09/2024,$157.42,5978181,$158.26,$158.34,$156.96
02/08/2024,$158.64,6121778,$158.80,$159.10,$157.77
02/07/2024,$159.12,7209276,$159.10,$159.83,$158.74
02/06/2024,$158.96,6185982,$158.305,$159.07,$157.87
02/05/2024,$158.21,6931933,$158.17,$159.00,$157.555
02/02/2024,$158.09,7937716,$158.97,$159.60,$157.525
02/01/2024,$159.18,7601144,$156.77,$159.30,$156.62
01/31/2024,$157.14,8870215,$157.99,$158.50,$156.70
01/30/2024,$157.49,7794730,$156.34,$157.92,$155.82
01/29/2024,$156.16,8987609,$156.68,$157.33,$155.395
01/26/2024,$156.14,8356819,$155.81,$156.16,$155.34
01/25/2024,$155.62,10352450,$152.40,$155.66,$152.06
01/24/2024,$152.12,11592670,$153.93,$154.23,$152.09
01/23/2024,$153.98,19101560,$153.11,$156.40,$152.89
01/22/2024,$147.86,11084130,$146.97,$148.21,$146.28
01/19/2024,$147.57,7848138,$148.25,$148.62,$147.31
01/18/2024,$148.14,6526221,$148.225,$148.40,$146.92
01/17/2024,$149.94,6541439,$149.155,$150.60,$149.01
01/16/2024,$149.79,8120101,$150.15,$151.50,$148.88
01/12/2024,$150.60,5684834,$150.95,$151.30,$149.89
01/11/2024,$150.51,6659447,$150.05,$150.80,$149.2935
01/10/2024,$149.94,8591116,$149.35,$150.00,$149.26
01/09/2024,$149.30,9786934,$148.57,$149.40,$148.05
01/08/2024,$148.69,8255307,$147.91,$148.92,$147.65
01/05/2024,$147.42,5294358,$148.72,$148.87,$146.55
01/04/2024,$148.65,7067618,$148.05,$149.2669,$147.77
01/03/2024,$147.84,7697534,$148.34,$149.20,$147.175
01/02/2024,$148.74,7238388,$146.36,$149.41,$146.31
12/29/2023,$146.54,5300991,$146.00,$146.96,$145.73
12/28/2023,$145.73,5023033,$146.00,$146.01,$145.035
12/27/2023,$146.06,4569442,$145.65,$146.305,$145.3638
12/26/2023,$145.94,3634885,$145.09,$146.17,$144.97
12/22/2023,$145.28,4413842,$144.50,$145.63,$144.29
12/21/2023,$144.26,6104714,$144.52,$144.79,$143.13
12/20/2023,$143.91,7663841,$145.57,$146.07,$143.84
12/19/2023,$146.17,5233563,$145.67,$146.335,$145.39
12/18/2023,$146.17,8421950,$144.17,$147.49,$144.15
12/15/2023,$143.96,14549960,$143.18,$144.25,$142.50
12/14/2023,$144.66,10565170,$148.46,$148.55,$144.38
12/13/2023,$148.58,9055532,$145.86,$148.65,$145.45
12/12/2023,$145.94,6069202,$145.86,$146.23,$145.08
12/11/2023,$145.82,8471213,$144.80,$145.87,$144.65
12/08/2023,$145.15,6385269,$145.92,$146.24,$144.52
12/07/2023,$146.50,6119624,$146.57,$147.10,$146.02
12/06/2023,$146.65,7610079,$147.01,$147.16,$145.64
12/05/2023,$146.76,11895820,$152.14,$152.61,$146.18
12/04/2023,$152.06,6578318,$151.77,$152.5332,$151.66
12/01/2023,$152.66,5685434,$153.33,$153.49,$152.23
11/30/2023,$153.52,9771509,$150.90,$153.63,$150.08
11/29/2023,$151.13,5342709,$152.29,$152.45,$150.99
11/28/2023,$152.29,6110455,$151.145,$152.772,$151.145
11/27/2023,$151.24,6021326,$151.52,$151.64,$150.74
11/24/2023,$151.38,2132494,$151.18,$151.74,$151.03
11/22/2023,$151.02,4373087,$150.10,$151.48,$150.10
11/21/2023,$149.61,7310387,$149.85,$150.01,$148.83
11/20/2023,$150.27,6857809,$150.21,$151.03,$149.66
11/17/2023,$151.07,8495710,$152.72,$152.84,$150.89
11/16/2023,$152.83,7590516,$151.99,$152.89,$151.31
11/15/2023,$151.42,7672848,$152.055,$152.39,$150.38
11/14/2023,$152.12,7982631,$152.55,$153.50,$151.6801
11/13/2023,$152.46,6297527,$151.445,$152.90,$151.445
11/10/2023,$151.41,5387350,$150.84,$151.44,$149.92
11/09/2023,$150.35,6581536,$149.74,$150.35,$149.12
11/08/2023,$150.01,4832618,$150.955,$151.20,$149.51
11/07/2023,$150.59,6003843,$150.92,$151.25,$150.12
11/06/2023,$150.94,6480898,$150.36,$151.25,$150.10
11/03/2023,$150.07,6587879,$151.79,$152.29,$149.615
11/02/2023,$151.44,5859285,$149.54,$151.65,$148.91
11/01/2023,$149.61,5896946,$150.68,$150.68,$149.21
10/31/2023,$150.03,6762155,$149.46,$150.255,$148.64
10/30/2023,$149.26,5412866,$147.90,$149.55,$147.54
10/27/2023,$147.16,8131875,$148.98,$149.95,$146.28
10/26/2023,$149.80,7582052,$151.05,$151.38,$149.74
10/25/2023,$150.60,6172937,$149.635,$151.19,$149.12
10/24/2023,$149.90,6322218,$148.12,$150.07,$148.07
10/23/2023,$148.15,5981784,$147.86,$149.50,$147.56
10/20/2023,$148.05,7284217,$149.05,$149.88,$147.92
10/19/2023,$148.25,8145959,$149.61,$150.28,$147.18
10/18/2023,$150.03,10508470,$150.06,$151.30,$148.77
10/17/2023,$146.26,6160115,$146.11,$146.825,$145.24
10/16/2023,$146.07,6509765,$145.86,$147.06,$145.46
10/13/2023,$144.69,7079323,$143.19,$145.03,$143.19
10/12/2023,$143.32,5965604,$142.79,$143.93,$141.66
10/11/2023,$143.00,5469148,$145.14,$145.56,$142.56
10/10/2023,$144.78,5988917,$143.98,$145.22,$143.72
10/09/2023,$143.36,5062170,$143.36,$143.97,$141.60
10/06/2023,$144.09,7406682,$143.60,$144.555,$141.45
